COUNTY,REGION,DISTRICT,D_rating,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,DAD_POST,OUTCOME,asvab_status
"'057","'10","'057840","A","RICHLAND COLLEGIATE HIGH SCHOOL","DALLAS","Y","N"," ","Meets Requirements","ASVAB Alternative Test Offered"
"'057","'10","'057841","Not Rated: Senate Bill 1365","CITYSCAPE SCHOOLS","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057844","B","MANARA ACADEMY","DALLAS","Y","N","0","Needs Assistance","ASVAB Test not Offered"
"'057","'10","'057845","A","UME PREPARATORY ACADEMY","DALLAS","Y","N","0","Meets Requirements"," "
"'057","'10","'057846","B","LEGACY PREPARATORY","DALLAS","Y","N","0","Meets Requirements"," "
"'057","'10","'057847","C","VILLAGE TECH SCHOOLS","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057848","B","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","Y","N","0","Needs Intervention"," "
"'057","'10","'057850","B","PIONEER TECHNOLOGY & ARTS ACADEMY","DALLAS","Y","N","0","Meets Requirements","ASVAB Test not Offered"
"'057","'10","'057851","B","BRIDGEWAY PREPARATORY ACADEMY","DALLAS","Y","N"," ","Meets Requirements"," "
"'057","'10","'057903","B","CARROLLTON-FARMERS BRANCH ISD","DALLAS","N","N","0","Needs Assistance"," "
"'057","'10","'057904","C","CEDAR HILL ISD","DALLAS","N","N","0","Needs Substantial Intervention"," "
"'057","'10","'057905","B","DALLAS ISD","DALLAS","N","N","0","Needs Assistance"," "
"'057","'10","'057906","B","DESOTO ISD","DALLAS","N","N","0","Needs Intervention"," "
"'057","'10","'057907","B","DUNCANVILLE ISD","DALLAS","N","N","0","Needs Intervention"," "
"'057","'10","'057909","B","GARLAND ISD","DALLAS","N","N","0","Needs Assistance"," "
"'057","'10","'057910","B","GRAND PRAIRIE ISD","DALLAS","N","N","0","Needs Assistance"," "
"'057","'10","'057911","A","HIGHLAND PARK ISD","DALLAS","N","N","0","Meets Requirements"," "
"'057","'10","'057912","B","IRVING ISD","DALLAS","N","N","0","Needs Assistance"," "
"'057","'10","'057913","B","LANCASTER ISD","DALLAS","N","N","0","Needs Assistance"," "
"'057","'10","'057914","B","MESQUITE ISD","DALLAS","N","N","0","Meets Requirements"," "
"'057","'10","'057916","B","RICHARDSON ISD","DALLAS","N","N","0","Meets Requirements"," "
"'057","'10","'057919","A","SUNNYVALE ISD","DALLAS","N","N","0","Meets Requirements"," "
"'057","'10","'057922","A","COPPELL ISD","DALLAS","N","N","0","Meets Requirements"," "
"'058","'17","'058902","Not Rated: Senate Bill 1365","DAWSON ISD","DAWSON","N","N"," ","Meets Requirements"," "
"'058","'17","'058905","A","KLONDIKE ISD","DAWSON","N","N"," ","Meets Requirements"," "
"'058","'17","'058906","B","LAMESA ISD","DAWSON","N","N"," ","Needs Intervention"," "
"'058","'17","'058909","A","SANDS CISD","DAWSON","N","N"," ","Meets Requirements"," "
"'059","'16","'059901","C","HEREFORD ISD","DEAF SMITH","N","N","0","Meets Requirements"," "
"'059","'16","'059902","A","WALCOTT ISD","DEAF SMITH","N","N"," ","Meets Requirements"," "
"'060","'08","'060902","B","COOPER ISD","DELTA","N","N","0","Meets Requirements"," "
"'060","'08","'060914","B","FANNINDEL ISD","DELTA","N","N","0","Meets Requirements"," "
"'061","'11","'061802","C","NORTH TEXAS COLLEGIATE ACADEMY","DENTON","Y","N","0","Meets Requirements"," "
"'061","'10","'061804","B","LEADERSHIP PREP SCHOOL","DENTON","Y","N","0","Meets Requirements"," "
"'061","'11","'061805","B","TRIVIUM ACADEMY","DENTON","Y","N"," ","Meets Requirements"," "
"'061","'11","'061901","B","DENTON ISD","DENTON","N","N","0","Needs Assistance"," "
"'061","'11","'061902","B","LEWISVILLE ISD","DENTON","N","N","0","Meets Requirements"," "
"'061","'11","'061903","B","PILOT POINT ISD","DENTON","N","N","0","Meets Requirements"," "
"'061","'11","'061905","B","KRUM ISD","DENTON","N","N","0","Needs Assistance"," "
"'061","'11","'061906","B","PONDER ISD","DENTON","N","N","0","Meets Requirements"," "
"'061","'11","'061907","B","AUBREY ISD","DENTON","N","N","0","Meets Requirements"," "
"'061","'11","'061908","B","SANGER ISD","DENTON","N","N","0","Meets Requirements"," "
"'061","'11","'061910","A","ARGYLE ISD","DENTON","N","N","0","Meets Requirements"," "
"'061","'11","'061911","B","NORTHWEST ISD","DENTON","N","N","0","Meets Requirements"," "
"'061","'11","'061912","B","LAKE DALLAS ISD","DENTON","N","N","0","Meets Requirements"," "
"'061","'11","'061914","C","LITTLE ELM ISD","DENTON","N","N","0","Needs Assistance"," "
"'062","'03","'062901","A","CUERO ISD","DEWITT","N","N","0","Needs Assistance"," "
"'062","'03","'062902","B","NORDHEIM ISD","DEWITT","N","N"," ","Meets Requirements"," "
"'062","'03","'062903","B","YOAKUM ISD","DEWITT","N","N","0","Meets Requirements"," "
"'062","'03","'062904","C","YORKTOWN ISD","DEWITT","N","N","0","Meets Requirements"," "
"'062","'03","'062905","A","WESTHOFF ISD","DEWITT","N","N"," ","Meets Requirements"," "
"'062","'03","'062906","A","MEYERSVILLE ISD","DEWITT","N","N"," ","Meets Requirements"," "
"'063","'17","'063903","B","SPUR ISD","DICKENS","N","N"," ","Meets Requirements"," "
"'063","'17","'063906","A","PATTON SPRINGS ISD","DICKENS","N","N"," ","Meets Requirements"," "
"'064","'20","'064903","B","CARRIZO SPRINGS CISD","DIMMIT","N","N","0","Needs Assistance"," "
"'065","'16","'065901","B","CLARENDON ISD","DONLEY","N","N","0","Meets Requirements"," "
"'065","'16","'065902","A","HEDLEY ISD","DONLEY","N","N"," ","Meets Requirements"," "
"'066","'02","'066005","C","RAMIREZ CSD","DUVAL","N","N"," ","Meets Requirements"," "
"'066","'02","'066901","C","BENAVIDES ISD","DUVAL","N","N","0","Meets Requirements"," "
"'066","'02","'066902","B","SAN DIEGO ISD","DUVAL","N","N","0","Needs Assistance"," "
"'066","'02","'066903","B","FREER ISD","DUVAL","N","N","0","Meets Requirements"," "
"'067","'14","'067902","B","CISCO ISD","EASTLAND","N","N","1","Meets Requirements"," "
"'067","'14","'067903","B","EASTLAND ISD","EASTLAND","N","N","0","Meets Requirements"," "
"'067","'14","'067904","B","GORMAN ISD","EASTLAND","N","N","0","Meets Requirements"," "
"'067","'14","'067907","C","RANGER ISD","EASTLAND","N","N","0","Meets Requirements"," "
"'067","'14","'067908","B","RISING STAR ISD","EASTLAND","N","N","0","Meets Requirements"," "
"'068","'18","'068802","C","COMPASS ACADEMY CHARTER SCHOOL","ECTOR","Y","N"," ","Meets Requirements"," "
"'068","'18","'068803","B","UTPB STEM ACADEMY","ECTOR","Y","N"," ","Meets Requirements"," "
"'068","'18","'068901","B","ECTOR COUNTY ISD","ECTOR","N","N","0","Needs Intervention"," "
"'069","'15","'069901","B","ROCKSPRINGS ISD","EDWARDS","N","N"," ","Meets Requirements"," "
"'069","'15","'069902","A","NUECES CANYON CISD","EDWARDS","N","N","0","Meets Requirements"," "
"'070","'10","'070801","Not Rated: Senate Bill 1365","WAXAHACHIE FAITH FAMILY ACADEMY","ELLIS","Y","N","0","Needs Intervention"," "
"'070","'10","'070901","B","AVALON ISD","ELLIS","N","N"," ","Meets Requirements"," "
"'070","'10","'070903","B","ENNIS ISD","ELLIS","N","N","1","Needs Assistance"," "
"'070","'10","'070905","B","FERRIS ISD","ELLIS","N","N","0","Needs Assistance"," "
"'070","'10","'070907","C","ITALY ISD","ELLIS","N","N","0","Meets Requirements"," "
"'070","'10","'070908","B","MIDLOTHIAN ISD","ELLIS","N","N","0","Meets Requirements"," "
"'070","'10","'070909","B","MILFORD ISD","ELLIS","N","N"," ","Meets Requirements"," "
"'070","'10","'070910","A","PALMER ISD","ELLIS","N","N","0","Meets Requirements"," "
"'070","'10","'070911","B","RED OAK ISD","ELLIS","N","N","0","Needs Intervention"," "
"'070","'10","'070912","B","WAXAHACHIE ISD","ELLIS","N","N","0","Meets Requirements"," "
"'070","'10","'070915","B","MAYPEARL ISD","ELLIS","N","N","0","Meets Requirements"," "
"'071","'19","'071801","A","BURNHAM WOOD CHARTER SCHOOL DISTRICT","EL PASO","Y","N","0","Meets Requirements"," "
"'071","'19","'071803","A","TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO","EL PASO","Y","Y"," ","Meets Requirements"," "
"'071","'19","'071804","A","EL PASO ACADEMY","EL PASO","Y","Y"," ","Meets Requirements"," "
"'071","'19","'071806","A","HARMONY PUBLIC SCHOOLS - WEST TEXAS","EL PASO","Y","N","0","Meets Requirements"," "
"'071","'19","'071807","A","LA FE PREPARATORY SCHOOL","EL PASO","Y","N"," ","Meets Requirements"," "
"'071","'19","'071809","B","VISTA DEL FUTURO CHARTER SCHOOL","EL PASO","Y","N"," ","Meets Requirements"," "
"'071","'19","'071810","Not Rated: Senate Bill 1365","EL PASO LEADERSHIP ACADEMY","EL PASO","Y","N","0","Meets Requirements"," "
"'071","'19","'071901","B","CLINT ISD","EL PASO","N","N","0","Needs Assistance"," "
"'071","'19","'071902","B","EL PASO ISD","EL PASO","N","N","0","Needs Assistance"," "
"'071","'19","'071903","B","FABENS ISD","EL PASO","N","N","0","Needs Intervention"," "
"'071","'19","'071904","B","SAN ELIZARIO ISD","EL PASO","N","N","0","Needs Intervention"," "
"'071","'19","'071905","A","YSLETA ISD","EL PASO","N","N","0","Meets Requirements"," "
"'071","'19","'071906","A","ANTHONY ISD","EL PASO","N","N","0","Meets Requirements"," "
"'071","'19","'071907","A","CANUTILLO ISD","EL PASO","N","N","0","Needs Assistance"," "
"'071","'19","'071908","B","TORNILLO ISD","EL PASO","N","N","0","Meets Requirements"," "
"'071","'19","'071909","B","SOCORRO ISD","EL PASO","N","N","0","Needs Assistance"," "
"'072","'11","'072801","Not Rated: Data Integrity Issues","PREMIER HIGH SCHOOLS","ERATH","Y","Y"," ","Needs Assistance","ASVAB Alternative Test Offered"
"'072","'11","'072802","B","ERATH EXCELS ACADEMY INC","ERATH","Y","Y"," ","Meets Requirements"," "
"'072","'11","'072901","C","THREE WAY ISD","ERATH","N","N"," ","Meets Requirements","ASVAB Alternative Test Offered"
"'072","'11","'072902","A","DUBLIN ISD","ERATH","N","N","1","Meets Requirements"," "
"'072","'11","'072903","A","STEPHENVILLE ISD","ERATH","N","N","0","Meets Requirements"," "
"'072","'11","'072904","C","BLUFF DALE ISD","ERATH","N","N"," ","Meets Requirements"," "
"'072","'11","'072908","A","HUCKABAY ISD","ERATH","N","N"," ","Meets Requirements"," "
"'072","'11","'072909","A","LINGLEVILLE ISD","ERATH","N","N"," ","Meets Requirements"," "
"'072","'11","'072910","B","MORGAN MILL ISD","ERATH","N","N"," ","Meets Requirements"," "
"'073","'12","'073901","A","CHILTON ISD","FALLS","N","N"," ","Meets Requirements"," "
"'073","'12","'073903","B","MARLIN ISD","FALLS","N","N","0","Meets Requirements"," "
"'073","'12","'073904","A","WESTPHALIA ISD","FALLS","N","N"," ","Meets Requirements"," "
"'073","'12","'073905","B","ROSEBUD-LOTT ISD","FALLS","N","N","0","Meets Requirements"," "
"'074","'10","'074903","C","BONHAM ISD","FANNIN","N","N","0","Meets Requirements"," "
"'074","'10","'074904","A","DODD CITY ISD","FANNIN","N","N"," ","Meets Requirements"," "
"'074","'10","'074905","C","ECTOR ISD","FANNIN","N","N","0","Meets Requirements"," "
"'074","'08","'074907","A","HONEY GROVE ISD","FANNIN","N","N","1","Meets Requirements"," "
"'074","'10","'074909","B","LEONARD ISD","FANNIN","N","N","0","Meets Requirements"," "
"'074","'10","'074911","B","SAVOY ISD","FANNIN","N","N","0","Meets Requirements"," "
"'074","'10","'074912","B","TRENTON ISD","FANNIN","N","N","0","Meets Requirements"," "
"'074","'10","'074917","A","SAM RAYBURN ISD","FANNIN","N","N","0","Meets Requirements"," "
"'075","'13","'075901","A","FLATONIA ISD","FAYETTE","N","N","1","Meets Requirements"," "
"'075","'13","'075902","B","LA GRANGE ISD","FAYETTE","N","N","0","Meets Requirements"," "
"'075","'13","'075903","B","SCHULENBURG ISD","FAYETTE","N","N","0","Meets Requirements"," "
"'075","'13","'075906","A","FAYETTEVILLE ISD","FAYETTE","N","N"," ","Meets Requirements"," "
"'075","'13","'075908","A","ROUND TOP-CARMINE ISD","FAYETTE","N","N","1","Meets Requirements"," "
"'076","'14","'076903","B","ROBY CISD","FISHER","N","N"," ","Meets Requirements"," "
"'076","'14","'076904","A","ROTAN ISD","FISHER","N","N"," ","Meets Requirements"," "
"'077","'17","'077901","B","FLOYDADA COLLEGIATE ISD","FLOYD","N","N","0","Meets Requirements"," "
"'077","'17","'077902","B","LOCKNEY ISD","FLOYD","N","N","0","Meets Requirements"," "
"'078","'09","'078901","B","CROWELL ISD","FOARD","N","N"," ","Meets Requirements"," "
"'079","'04","'079901","A","LAMAR CISD","FORT BEND","N","N","0","Needs Assistance"," "
"'079","'04","'079906","A","NEEDVILLE ISD","FORT BEND","N","N","0","Meets Requirements"," "
"'079","'04","'079907","B","FORT BEND ISD","FORT BEND","N","N","0","Needs Assistance"," "
"'079","'04","'079910","B","STAFFORD MSD","FORT BEND","N","N","0","Needs Assistance"," "
"'080","'08","'080901","A","MOUNT VERNON ISD","FRANKLIN","N","N","0","Meets Requirements"," "
"'081","'12","'081902","B","FAIRFIELD ISD","FREESTONE","N","N","0","Meets Requirements"," "
"'081","'12","'081904","A","TEAGUE ISD","FREESTONE","N","N","1","Meets Requirements"," "
"'081","'12","'081905","B","WORTHAM ISD","FREESTONE","N","N","0","Meets Requirements"," "
"'081","'12","'081906","B","DEW ISD","FREESTONE","N","N"," ","Meets Requirements"," "
"'082","'20","'082902","B","DILLEY ISD","FRIO","N","N","0","Needs Assistance"," "
"'082","'20","'082903","B","PEARSALL ISD","FRIO","N","N","0","Needs Assistance"," "
"'083","'17","'083901","B","SEAGRAVES ISD","GAINES","N","N"," ","Meets Requirements"," "
"'083","'17","'083902","A","LOOP ISD","GAINES","N","N"," ","Meets Requirements"," "
"'083","'17","'083903","A","SEMINOLE ISD","GAINES","N","N","1","Meets Requirements"," "
"'084","'04","'084802","B","ODYSSEY ACADEMY INC","GALVESTON","Y","N","0","Meets Requirements"," "
"'084","'04","'084804","A","AMBASSADORS PREPARATORY ACADEMY","GALVESTON","Y","N"," ","Meets Requirements"," "
"'084","'04","'084901","B","DICKINSON ISD","GALVESTON","N","N","0","Meets Requirements"," "
"'084","'04","'084902","B","GALVESTON ISD","GALVESTON","N","N","0","Needs Assistance","ASVAB Test not Offered"
"'084","'05","'084903","A","HIGH ISLAND ISD","GALVESTON","N","N"," ","Meets Requirements"," "
"'084","'04","'084906","B","TEXAS CITY ISD","GALVESTON","N","N","0","Needs Assistance"," "
"'084","'04","'084908","B","HITCHCOCK ISD","GALVESTON","N","N","0","Needs Assistance"," "
"'084","'04","'084909","B","SANTA FE ISD","GALVESTON","N","N","0","Meets Requirements"," "
"'084","'04","'084910","B","CLEAR CREEK ISD","GALVESTON","N","N","0","Meets Requirements"," "
"'084","'04","'084911","A","FRIENDSWOOD ISD","GALVESTON","N","N","0","Meets Requirements"," "
"'085","'17","'085902","B","POST ISD","GARZA","N","N","0","Meets Requirements"," "
"'085","'17","'085903","C","SOUTHLAND ISD","GARZA","N","N"," ","Meets Requirements"," "
"'086","'13","'086024","B","DOSS CONSOLIDATED CSD","GILLESPIE","N","N"," ","Meets Requirements"," "
"'086","'13","'086901","C","FREDERICKSBURG ISD","GILLESPIE","N","N","0","Needs Assistance"," "
"'086","'15","'086902","A","HARPER ISD","GILLESPIE","N","N","0","Meets Requirements"," "
"'087","'18","'087901","A","GLASSCOCK COUNTY ISD","GLASSCOCK","N","N","1","Meets Requirements"," "
"'088","'03","'088902","B","GOLIAD ISD","GOLIAD","N","N","0","Needs Assistance"," "
"'089","'13","'089901","B","GONZALES ISD","GONZALES","N","N","0","Needs Assistance"," "
"'089","'13","'089903","B","NIXON-SMILEY CISD","GONZALES","N","N","0","Meets Requirements"," "
"'089","'13","'089905","B","WAELDER ISD","GONZALES","N","N"," ","Needs Assistance"," "
"'090","'16","'090902","C","LEFORS ISD","GRAY","N","N"," ","Meets Requirements"," "
"'090","'16","'090903","A","MCLEAN ISD","GRAY","N","N"," ","Meets Requirements"," "
"'090","'16","'090904","B","PAMPA ISD","GRAY","N","N","0","Needs Assistance"," "
"'090","'16","'090905","B","GRANDVIEW-HOPKINS ISD","GRAY","N","N"," ","Meets Requirements"," "
"'091","'10","'091901","A","BELLS ISD","GRAYSON","N","N","1","Meets Requirements"," "
"'091","'10","'091902","C","COLLINSVILLE ISD","GRAYSON","N","N","0","Meets Requirements"," "
"'091","'10","'091903","C","DENISON ISD","GRAYSON","N","N","0","Meets Requirements"," "
"'091","'10","'091905","A","HOWE ISD","GRAYSON","N","N","0","Meets Requirements"," "
"'091","'10","'091906","C","SHERMAN ISD","GRAYSON","N","N","0","Needs Intervention"," "
"'091","'10","'091907","B","TIOGA ISD","GRAYSON","N","N"," ","Meets Requirements"," "
"'091","'10","'091908","A","VAN ALSTYNE ISD","GRAYSON","N","N","1","Meets Requirements"," "
"'091","'10","'091909","B","WHITESBORO ISD","GRAYSON","N","N","0","Meets Requirements"," "
"'091","'10","'091910","A","WHITEWRIGHT ISD","GRAYSON","N","N","0","Meets Requirements"," "
"'091","'10","'091913","B","POTTSBORO ISD","GRAYSON","N","N","0","Meets Requirements"," "
"'091","'10","'091914","B","S AND S CISD","GRAYSON","N","N","0","Meets Requirements"," "
"'091","'10","'091917","A","GUNTER ISD","GRAYSON","N","N","1","Meets Requirements"," "
"'091","'10","'091918","B","TOM BEAN ISD","GRAYSON","N","N","0","Meets Requirements"," "
"'092","'07","'092801","A","EAST TEXAS CHARTER SCHOOLS","GREGG","Y","Y"," ","Meets Requirements"," "
"'092","'07","'092901","B","GLADEWATER ISD","GREGG","N","N","0","Needs Assistance"," "
"'092","'07","'092902","B","KILGORE ISD","GREGG","N","N","0","Needs Substantial Intervention"," "
"'092","'07","'092903","A","LONGVIEW ISD","GREGG","N","N","1","Meets Requirements"," "
"'092","'07","'092904","B","PINE TREE ISD","GREGG","N","N","0","Meets Requirements"," "
"'092","'07","'092906","A","SABINE ISD","GREGG","N","N","0","Meets Requirements"," "
"'092","'07","'092907","A","SPRING HILL ISD","GREGG","N","N","1","Meets Requirements"," "
"'092","'07","'092908","A","WHITE OAK ISD","GREGG","N","N","0","Needs Assistance"," "
"'093","'06","'093901","A","ANDERSON-SHIRO CISD","GRIMES","N","N","0","Meets Requirements"," "
"'093","'06","'093903","A","IOLA ISD","GRIMES","N","N","0","Meets Requirements"," "
"'093","'06","'093904","B","NAVASOTA ISD","GRIMES","N","N","0","Needs Intervention"," "
"'093","'06","'093905","B","RICHARDS ISD","GRIMES","N","N"," ","Meets Requirements"," "
"'094","'20","'094901","Not Rated: Senate Bill 1365","SEGUIN ISD","GUADALUPE","N","N","0","Needs Assistance"," "
"'094","'20","'094902","B","SCHERTZ-CIBOLO-U CITY ISD","GUADALUPE","N","N","0","Meets Requirements"," "
"'094","'20","'094903","B","NAVARRO ISD","GUADALUPE","N","N","0","Meets Requirements"," "
"'094","'20","'094904","B","MARION ISD","GUADALUPE","N","N","0","Meets Requirements"," "
"'095","'17","'095901","A","ABERNATHY ISD","HALE","N","N","0","Meets Requirements"," "
"'095","'17","'095902","B","COTTON CENTER ISD","HALE","N","N"," ","Meets Requirements"," "
"'095","'17","'095903","B","HALE CENTER ISD","HALE","N","N","0","Meets Requirements","ASVAB Alternative Test Offered"
"'095","'17","'095904","A","PETERSBURG ISD","HALE","N","N"," ","Meets Requirements"," "
"'095","'17","'095905","B","PLAINVIEW ISD","HALE","N","N","0","Needs Assistance"," "
"'096","'16","'096904","B","MEMPHIS ISD","HALL","N","N","0","Meets Requirements"," "
"'096","'16","'096905","A","TURKEY-QUITAQUE ISD","HALL","N","N"," ","Meets Requirements"," "
"'097","'12","'097902","A","HAMILTON ISD","HAMILTON","N","N","0","Meets Requirements"," "
"'097","'12","'097903","B","HICO ISD","HAMILTON","N","N","0","Meets Requirements"," "
"'098","'16","'098901","A","GRUVER ISD","HANSFORD","N","N","0","Meets Requirements"," "
"'098","'16","'098903","B","PRINGLE-MORSE CISD","HANSFORD","N","N"," ","Meets Requirements","ASVAB Test not Offered"
"'098","'16","'098904","A","SPEARMAN ISD","HANSFORD","N","N","1","Meets Requirements"," "
"'099","'09","'099902","B","CHILLICOTHE ISD","HARDEMAN","N","N"," ","Meets Requirements"," "
"'099","'09","'099903","A","QUANAH ISD","HARDEMAN","N","N","0","Meets Requirements"," "
"'100","'05","'100903","B","KOUNTZE ISD","HARDIN","N","N","0","Needs Assistance"," "
"'100","'05","'100904","C","SILSBEE ISD","HARDIN","N","N","0","Needs Substantial Intervention"," "
"'100","'05","'100905","B","HARDIN-JEFFERSON ISD","HARDIN","N","N","0","Meets Requirements"," "
"'100","'05","'100907","B","LUMBERTON ISD","HARDIN","N","N","0","Meets Requirements"," "
"'100","'05","'100908","B","WEST HARDIN COUNTY CISD","HARDIN","N","N","0","Meets Requirements"," "
"'101","'04","'101802","B","SER-NINOS CHARTER SCHOOL","HARRIS","Y","N","0","Meets Requirements"," "
"'101","'04","'101803","B","ARISTOI CLASSICAL ACADEMY","HARRIS","Y","N","0","Meets Requirements"," "
"'101","'04","'101804","B","GEORGE I SANCHEZ CHARTER","HARRIS","Y","Y"," ","Meets Requirements"," "
"'101","'04","'101806","A","RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","HARRIS","Y","N","0","Meets Requirements"," "
"'101","'04","'101810","Not Rated","ACADEMY OF ACCELERATED LEARNING INC","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101811","Not Rated","EXCEL ACADEMY","HARRIS","Y","Y"," ","Meets Requirements"," "
"'101","'04","'101814","B","THE VARNETT PUBLIC SCHOOL","HARRIS","Y","N","0","Meets Requirements"," "
"'101","'04","'101815","B","ALIEF MONTESSORI COMMUNITY SCHOOL","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101819","A","AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101821","A","HOUSTON HEIGHTS HIGH SCHOOL","HARRIS","Y","Y"," ","Meets Requirements"," "
"'101","'04","'101828","A","HOUSTON GATEWAY ACADEMY INC","HARRIS","Y","N","0","Meets Requirements"," "
"'101","'04","'101837","A","CALVIN NELMS CHARTER SCHOOLS","HARRIS","Y","N","1","Meets Requirements"," "
"'101","'04","'101838","B","SOUTHWEST SCHOOL","HARRIS","Y","N"," ","Needs Intervention"," "
"'101","'04","'101840","B","TWO DIMENSIONS PREPARATORY ACADEMY","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101842","C","COMQUEST ACADEMY","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101845","B","YES PREP PUBLIC SCHOOLS INC","HARRIS","Y","N","0","Needs Assistance"," "
"'101","'04","'101846","A","HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH","HARRIS","Y","N","0","Needs Assistance"," "
"'101","'04","'101847","C","BEATRICE MAYES INSTITUTE CHARTER SCHOOL","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101849","A","ACCELERATED INTERMEDIATE ACADEMY","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101853","C","PROMISE COMMUNITY SCHOOL","HARRIS","Y","N","0","Meets Requirements"," "
"'101","'04","'101855","B","MEYERPARK ELEMENTARY","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101856","B","DRAW ACADEMY","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101858","A","HARMONY PUBLIC SCHOOLS - HOUSTON NORTH","HARRIS","Y","N","0","Meets Requirements"," "
"'101","'04","'101859","A","STEP CHARTER SCHOOL","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101861","B","THE RHODES SCHOOL FOR PERFORMING ARTS","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101862","A","HARMONY PUBLIC SCHOOLS - HOUSTON WEST","HARRIS","Y","N","0","Meets Requirements"," "
"'101","'04","'101864","B","THE LAWSON ACADEMY","HARRIS","Y","Y"," ","Meets Requirements"," "
"'101","'04","'101868","Not Rated: Senate Bill 1365","THE PRO-VISION ACADEMY","HARRIS","Y","Y"," ","Needs Assistance"," "
"'101","'04","'101870","A","BETA ACADEMY","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101871","B","A+ UNLIMITED POTENTIAL","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101872","B","ETOILE ACADEMY CHARTER SCHOOL","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101873","B","YELLOWSTONE COLLEGE PREPARATORY","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101874","B","LEGACY SCHOOL OF SPORT SCIENCES","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101875","Not Rated: Senate Bill 1365","BLOOM ACADEMY CHARTER SCHOOL","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101876","Not Rated: Senate Bill 1365","REVE PREPARATORY CHARTER SCHOOL","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101877","Not Rated","ELEVATE COLLEGIATE CHARTER SCHOOL","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101878","Not Rated","HOUSTON CLASSICAL CHARTER SCHOOL","HARRIS","Y","N"," ","Meets Requirements"," "
"'101","'04","'101902","C","ALDINE ISD","HARRIS","N","N","0","Needs Substantial Intervention"," "
"'101","'04","'101903","B","ALIEF ISD","HARRIS","N","N","0","Needs Assistance"," "
"'101","'04","'101905","B","CHANNELVIEW ISD","HARRIS","N","N","0","Needs Assistance"," "
"'101","'04","'101906","B","CROSBY ISD","HARRIS","N","N","0","Meets Requirements"," "
"'101","'04","'101907","A","CYPRESS-FAIRBANKS ISD","HARRIS","N","N","0","Meets Requirements"," "
"'101","'04","'101908","A","DEER PARK ISD","HARRIS","N","N","0","Meets Requirements"," "
"'101","'04","'101910","A","GALENA PARK ISD","HARRIS","N","N","0","Needs Assistance"," "
"'101","'04","'101911","B","GOOSE CREEK CISD","HARRIS","N","N","0","Needs Assistance"," "
"'101","'04","'101912","B","HOUSTON ISD","HARRIS","N","N","0","Needs Assistance"," "
"'101","'04","'101913","B","HUMBLE ISD","HARRIS","N","N","0","Needs Assistance"," "
"'101","'04","'101914","A","KATY ISD","HARRIS","N","N","0","Meets Requirements"," "
"'101","'04","'101915","B","KLEIN ISD","HARRIS","N","N","0","Meets Requirements"," "
"'101","'04","'101916","B","LA PORTE ISD","HARRIS","N","N","0","Meets Requirements"," "
"'101","'04","'101917","B","PASADENA ISD","HARRIS","N","N","0","Needs Assistance"," "
"'101","'04","'101919","B","SPRING ISD","HARRIS","N","N","0","Needs Assistance"," "
"'101","'04","'101920","B","SPRING BRANCH ISD","HARRIS","N","N","0","Meets Requirements"," "
"'101","'04","'101921","A","TOMBALL ISD","HARRIS","N","N","0","Meets Requirements"," "
"'101","'04","'101924","B","SHELDON ISD","HARRIS","N","N","0","Needs Assistance"," "
"'101","'04","'101925","B","HUFFMAN ISD","HARRIS","N","N","0","Needs Assistance"," "
"'102","'07","'102901","C","KARNACK ISD","HARRISON","N","N"," ","Meets Requirements"," "
"'102","'07","'102902","B","MARSHALL ISD","HARRISON","N","N","0","Needs Substantial Intervention"," "
"'102","'07","'102903","B","WASKOM ISD","HARRISON","N","N","0","Meets Requirements"," "
